unnamed:_0;food;makanan_indonesia;caloric_value;fat;saturated_fats;monounsaturated_fats;polyunsaturated_fats;carbohydrates;sugars;protein;dietary_fiber;cholesterol;sodium;water;vitamin_a;vitamin_b1;vitamin_b11;vitamin_b12;vitamin_b2;vitamin_b3;vitamin_b5;vitamin_b6;vitamin_c;vitamin_d;vitamin_e;vitamin_k;calcium;copper;iron;magnesium;manganese;phosphorus;potassium;selenium;zinc;nutrition_density
402;pout cooked;cemberut dimasak;279;3.2;1.1;1.2;0.1;0.0;0.0;58.4;0.0;183.6;0.2;208.5;0.062;0.3;0.077;0.017;0.2;7.0;0.5;0.8;0.0;0.0;0.0;0.0;35.6;0.1;1.0;46.6;0.022;701.4;1405.6;0.1;3.6;98.207
403;chinook salmon raw;Chinook Salmon Raw;709;41.3;12.3;17.4;11.1;0.0;0.0;78.9;0.0;198.0;0.2;283.7;0.5;0.2;0.1;0.077;0.4;33.3;3.0;1.6;15.8;0.0;4.8;0.0;103.0;0.2;1.0;376.2;0.034;1144.4;1560.2;0.1;1.7;240.5
404;rockfish raw;ROWFISH RAW;172;2.6;0.7;0.7;0.8;0.0;0.0;35.1;0.0;95.5;0.1;151.0;0.007;0.039;0.045;0.092;0.4;4.6;0.6;0.4;0.0;0.027;0.7;0.0;26.7;0.021;0.6;51.6;0.064;391.6;737.3;0.1;0.7;65.002
405;tilefish raw;Tilefish RAW;371;8.9;1.7;2.2;2.3;0.0;0.0;67.6;0.0;193.0;0.2;304.6;0.057;0.5;0.042;0.057;0.6;11.2;2.9;1.0;0.0;0.0;0.0;0.0;100.4;0.2;1.0;108.1;0.008;721.8;1671.4;0.1;1.4;177.901
406;scup raw;scup mentah;174;4.5;1.1;0.9;1.7;0.0;0.0;31.3;0.0;86.3;0.082;125.1;0.037;0.2;0.02;0.014;0.2;6.8;1.2;0.5;0.0;0.077;0.8;0.001;66.4;0.008;0.9;38.2;0.086;307.1;476.4;0.09;0.8;103.111
407;sablefish cooked;Sablefish dimasak;755;59.3;12.4;31.2;7.9;0.0;0.0;51.9;0.0;190.3;0.2;189.8;0.3;0.4;0.085;0.046;0.3;15.5;2.6;1.0;0.0;0.0;0.0;0.0;135.9;0.013;5.0;214.4;0.095;649.3;1386.2;0.1;1.2;252.4
408;tuna salad;salad tuna;383;19.0;3.2;5.9;8.5;19.3;0.0;32.9;0.0;26.7;0.8;129.5;0.004;0.028;0.059;0.049;0.1;13.7;0.5;0.2;4.5;0.0;0.0;0.0;34.9;0.3;2.1;39.0;0.082;364.9;364.9;0.001;1.1;112.727
409;coho salmon cooked;Salmon Coho dimasak;255;11.8;2.8;5.2;2.8;0.0;0.0;34.7;0.0;90.1;0.06;95.8;0.063;0.1;0.064;0.086;0.2;10.6;1.8;0.8;2.1;0.0;0.0;0.0;17.2;0.1;0.6;48.6;0.056;474.8;657.8;0.081;0.7;66.478
410;roe raw;Roe Raw;20;0.9;0.2;0.2;0.4;0.2;0.0;3.1;0.0;52.4;0.052;9.5;0.028;0.025;0.068;0.004;0.1;0.3;0.1;0.072;2.2;0.02;1.0;0.018;3.1;0.062;0.085;2.8;0.002;56.3;30.9;0.059;0.1;9.553
411;sea bass raw;Bass Laut Raw;125;2.6;0.7;0.5;1.0;0.0;0.0;23.8;0.0;52.9;0.084;101.0;0.001;0.1;0.079;0.064;0.2;2.1;1.0;0.5;0.0;0.071;1.1;0.091;12.9;0.079;0.4;52.9;0.09;250.3;330.2;0.082;0.5;39.739
412;pink salmon cooked;Salmon merah muda dimasak;349;12.0;2.2;3.7;2.2;0.0;0.0;56.0;0.0;125.4;0.2;161.1;0.029;0.055;0.2;0.043;0.012;0.3;21.9;2.8;1.6;0.0;0.041;1.1;0.066;18.2;0.2;1.0;73.0;0.003;713.6;1000.9;0.089;69.873
413;sockeye salmon cooked;Soceye Salmon dimasak;493;17.3;3.0;5.8;4.1;0.0;0.0;82.1;0.0;189.1;0.3;208.7;0.087;0.2;0.5;0.035;0.04;0.8;31.4;4.3;2.6;0.0;0.016;3.1;0.089;34.1;0.2;1.6;111.6;0.096;945.5;1351.6;0.1;102.315
414;whitefish raw;ikan putih mentah;265;11.6;1.8;4.0;4.3;0.0;0.0;37.8;0.0;118.8;0.1;144.1;0.092;0.3;0.089;0.095;0.2;5.9;1.5;0.6;0.0;0.095;0.4;0.061;51.5;0.1;0.7;65.3;0.1;534.6;627.7;0.059;2.0;101.603
415;greenland halibut cooked;Greenland Halibut dimasak;760;56.4;9.9;34.2;5.6;0.0;0.0;58.6;0.0;187.6;0.3;196.8;0.093;0.2;0.07;0.004;0.3;6.1;0.9;1.5;0.0;0.0;0.0;0.0;12.7;0.1;2.7;104.9;0.075;667.8;1093.9;0.1;1.6;130.404
416;northern pike cooked;Pike utara dimasak;350;2.7;0.5;0.6;0.8;0.0;0.0;76.5;0.0;155.0;0.2;226.2;0.095;0.2;0.098;0.088;0.2;8.7;2.7;0.4;11.8;0.0;0.0;0.0;226.3;0.2;2.2;124.0;1.0;874.2;1026.1;0.024;2.7;319.506
417;salmon raw;Salmon Raw;824;53.1;12.1;14.9;15.4;0.0;0.0;80.9;0.0;217.8;0.2;257.0;0.0;0.8;0.1;0.021;0.6;34.3;6.1;2.5;15.4;0.0;14.1;0.059;35.6;0.2;1.3;106.9;0.029;950.4;1437.5;0.014;1.4;186.3
418;turbot cooked;Turbot dimasak;388;12.0;0.0;0.0;0.0;0.0;0.0;65.4;0.0;197.2;0.6;224.0;0.02;0.2;0.04;0.026;0.3;8.5;2.1;0.8;5.4;0.0;0.0;0.0;73.1;0.1;1.5;206.7;0.064;524.7;969.9;0.1;0.9;157.453
419;surimi;Surimi;28;0.3;0.059;0.043;0.1;1.9;0.0;4.3;0.0;8.5;0.042;21.6;0.084;0.072;0.006;0.035;0.078;0.062;0.055;0.064;0.0;0.0;0.2;0.003;2.5;0.007;0.057;12.2;0.043;79.8;31.7;0.047;0.026;9.072
420;chinook salmon cooked;Chinook Salmon dimasak;711;41.2;9.9;17.7;8.2;0.0;0.0;79.2;0.0;261.8;0.2;202.0;0.5;0.1;0.1;0.065;0.5;30.9;2.7;1.4;12.6;0.0;0.0;0.0;86.2;0.2;2.8;375.8;0.074;1142.7;1555.4;0.1;1.7;222.5
421;mullet cooked;Mullet dimasak;140;4.5;1.3;1.3;0.9;0.0;0.0;23.1;0.0;58.6;0.001;65.6;0.053;0.022;0.034;0.084;0.09;5.9;0.8;0.5;1.1;0.0;0.0;0.0;28.8;0.1;1.3;30.7;0.048;226.9;425.9;0.027;0.8;58.866
422;chum salmon raw;Chum Salmon Raw;3;0.1;0.08;0.035;0.037;0.0;0.0;0.6;0.0;2.1;0.029;2.1;0.08;0.016;0.097;0.065;0.06;0.2;0.043;0.036;0.0;0.0;0.093;0.0;0.3;0.091;0.038;0.6;0.055;7.9;12.0;0.02;0.062;1.025
423;butterfish raw;Kupu -kupu mentah;47;2.6;1.1;1.1;0.2;0.0;0.0;5.5;0.0;20.8;0.072;23.7;0.031;0.073;0.04;0.048;0.077;1.4;0.2;0.03;0.0;0.0;0.0;0.0;7.0;0.065;0.2;8.0;0.091;76.8;120.0;0.067;0.2;15.332
424;sea bass cooked;Bass laut dimasak;125;2.6;0.7;0.5;1.0;0.0;0.0;23.9;0.0;53.5;0.058;72.9;0.053;0.1;0.048;0.046;0.2;1.9;0.9;0.5;0.0;0.0;0.0;0.0;13.1;0.046;0.4;53.5;0.056;250.5;331.3;0.023;0.5;40.067
425;greenland halibut raw;Greenland Halibut Raw;759;56.5;9.9;34.2;5.6;0.0;0.0;58.6;0.0;187.7;0.3;286.7;0.009;0.2;0.069;0.005;0.3;6.1;1.0;1.7;0.0;0.1;3.0;0.091;12.2;0.1;2.7;106.1;0.045;669.1;1093.4;0.1;1.6;130.06
426;halibut raw;halibut mentah;371;5.4;1.2;1.9;1.2;0.0;0.0;75.7;0.0;199.9;0.3;327.8;0.072;0.2;0.079;0.015;0.1;26.6;1.4;2.2;0.0;0.031;2.5;0.0;28.6;0.08;0.7;93.8;0.02;962.9;1774.8;0.2;1.5;110.481
427;sturgeon cooked;Sturgeon dimasak;184;7.0;1.6;3.4;1.2;0.0;0.0;28.2;0.0;104.7;0.019;95.1;0.4;0.1;0.072;0.087;0.1;13.7;1.2;0.3;0.0;0.073;0.9;0.039;23.1;0.054;1.2;61.2;0.038;368.6;495.0;0.044;0.7;59.9
428;fish fillet fried;Fillet ikan digoreng;211;11.2;2.6;2.3;5.7;15.4;0.0;13.3;0.5;30.9;0.5;48.7;0.095;0.043;0.05;0.054;0.089;1.9;0.2;0.066;0.0;0.0;0.0;0.0;16.4;0.003;1.9;21.8;0.2;155.6;291.2;0.035;0.4;58.716
429;rainbow trout raw;Rainbow Trout Raw;111;4.9;1.1;1.6;1.2;0.0;0.0;15.8;0.0;46.6;0.022;58.3;0.044;0.032;0.056;0.057;0.091;4.4;1.3;0.3;2.3;0.056;1.8;0.094;19.8;0.096;0.2;19.8;0.008;178.5;297.8;0.067;0.4;43.047
430;pout raw;cemberut mentah;278;3.2;1.1;1.2;0.1;0.0;0.0;58.6;0.0;183.0;0.2;286.4;0.032;0.3;0.022;0.021;0.2;7.4;0.5;0.8;0.0;0.0;0.0;0.0;35.2;0.1;1.0;45.8;0.003;704.0;1408.0;0.1;3.6;98.078
431;rainbow smelt cooked;Pelangi berbau dimasak;35;0.9;0.2;0.2;0.3;0.0;0.0;6.4;0.0;25.5;0.047;20.6;0.005;0.072;0.021;0.089;0.083;0.5;0.2;0.041;0.0;0.0;0.0;0.0;21.8;0.01;0.3;10.8;0.3;83.5;105.3;0.062;0.6;29.428
432;monkfish raw;Monkfish Raw;22;0.4;0.079;0.074;0.2;0.0;0.0;4.1;0.0;7.1;0.059;23.6;0.005;0.092;0.082;0.021;0.081;0.6;0.025;0.077;0.3;0.0;0.0;0.0;2.3;0.041;0.059;5.9;0.057;56.6;113.2;0.09;0.1;7.21
433;trout raw;trout mentah;117;5.2;0.9;2.6;1.2;0.0;0.0;16.4;0.0;45.8;0.051;56.4;0.1;0.3;0.041;0.027;0.3;3.6;1.5;0.2;0.4;0.032;0.2;0.003;34.0;0.1;1.2;17.4;0.7;193.6;285.2;0.095;0.5;57.297
434;shark raw;Hiu mentah;37;1.3;0.3;0.5;0.3;0.0;0.0;5.9;0.0;14.4;0.003;20.8;0.012;0.009;0.079;0.085;0.017;0.8;0.2;0.1;0.0;0.046;0.3;0.007;9.6;0.01;0.2;13.9;0.088;59.4;45.3;0.067;0.1;17.064
435;burbot raw;Burbot Raw;104;0.9;0.2;0.2;0.3;0.0;0.0;22.4;0.0;69.6;0.1;91.9;0.081;0.4;0.024;0.048;0.2;1.9;0.2;0.3;0.0;0.0;0.0;0.0;58.0;0.2;1.0;37.1;0.8;232.0;468.6;0.043;0.9;82.309
436;dolphinfish cooked;Lumba -lumba dimasak;173;1.4;0.4;0.2;0.3;0.0;0.0;37.7;0.0;149.5;0.2;113.2;0.046;0.092;0.096;0.086;0.1;11.8;1.4;0.7;0.0;0.0;0.0;0.0;30.2;0.052;2.3;60.4;0.018;291.0;847.5;0.057;0.9;71.625
437;crayfish cooked;udang karang dimasak;25;0.4;0.089;0.022;0.1;0.0;0.0;5.0;0.0;38.8;0.058;22.9;0.094;0.045;0.056;0.076;0.051;0.5;0.1;0.058;0.1;0.0;0.0;0.0;14.4;0.2;0.3;9.3;0.072;68.2;67.4;0.047;0.4;20.222
438;dolphinfish raw;Dolphinfish Raw;173;1.4;0.4;0.2;0.3;0.0;0.0;37.7;0.0;148.9;0.2;158.2;0.1;0.05;0.005;0.04;0.1;12.4;1.5;0.8;0.0;0.0;0.0;0.0;30.6;0.089;2.3;61.2;0.084;291.7;848.6;0.006;0.9;72.1
439;perch cooked;Bertengger dimasak;54;0.5;0.1;0.029;0.2;0.0;0.0;11.4;0.0;52.9;0.043;33.7;0.019;0.006;0.099;0.02;0.088;0.9;0.4;0.07;0.8;0.0;0.0;0.0;46.9;0.085;0.5;17.5;0.4;118.2;158.2;0.08;0.7;60.112
440;cusk raw;Cusk Raw;106;0.8;0.2;0.1;0.3;0.0;0.0;23.2;0.0;50.0;0.086;93.1;0.038;0.033;0.038;0.037;0.2;3.3;0.3;0.5;0.0;0.0;0.0;0.0;12.2;0.061;1.0;37.8;0.032;248.9;478.2;0.01;0.5;37.228
441;bluefin tuna raw;Bluefin Tuna Raw;41;1.4;0.4;0.5;0.4;0.0;0.0;6.6;0.0;10.8;0.013;19.3;0.2;0.037;0.041;0.008;0.042;2.4;0.3;0.1;0.0;0.077;0.3;0.0;2.3;0.038;0.3;14.2;0.068;71.9;71.3;0.07;0.2;10.8
442;milkfish cooked;Milkfish dimasak;54;2.4;0.0;0.0;0.0;0.0;0.0;7.4;0.0;19.0;0.076;17.7;0.027;0.069;0.08;0.061;0.058;2.3;0.2;0.1;0.0;0.0;0.0;0.0;18.4;0.05;0.1;10.8;0.003;58.9;105.8;0.065;0.3;28.341
443;carp raw;Tukang ikan mas;277;12.2;2.4;5.1;3.1;0.0;0.0;38.9;0.0;143.9;0.1;166.4;0.042;0.3;0.094;0.087;0.1;3.6;1.6;0.4;3.5;0.042;1.4;0.016;89.4;0.1;2.7;63.2;0.065;904.7;725.9;0.037;3.2;146.793
444;sturgeon raw;Sturgeon Raw;30;1.1;0.3;0.5;0.2;0.0;0.0;4.6;0.0;17.0;0.007;21.7;0.016;0.058;0.039;0.039;0.082;2.3;0.2;0.013;0.0;0.008;0.1;0.03;3.7;0.01;0.2;9.9;0.035;59.7;80.4;0.077;0.1;9.612
445;orange roughy raw;oranye kasar mentah;22;0.2;0.057;0.051;0.086;0.0;0.0;4.6;0.0;17.0;0.063;21.4;0.082;0.086;0.073;0.078;0.005;0.4;0.082;0.038;0.0;0.0;0.3;0.063;2.5;0.015;0.3;4.8;0.091;30.3;47.3;0.042;0.039;7.672
446;catfish fried;ikan lele digoreng;199;11.6;2.9;4.9;2.9;7.0;0.0;15.7;0.6;61.8;0.2;51.2;0.0;0.04;0.015;0.054;0.1;2.0;0.6;0.2;0.0;0.0;0.0;0.0;38.3;0.01;1.2;23.5;0.05;187.9;295.8;0.098;0.7;74.4
447;cuttlefish raw;Cumi -cumi mentah;22;0.2;0.002;0.088;0.069;0.2;0.0;4.6;0.0;31.7;0.1;22.8;0.048;0.025;0.093;0.01;0.3;0.3;0.1;0.079;1.5;0.0;0.0;0.0;25.5;0.2;1.7;8.5;0.092;109.5;100.2;0.083;0.5;33.734
448;bass raw;Bass Raw;90;2.9;0.6;1.1;0.8;0.0;0.0;14.9;0.0;53.7;0.055;59.8;0.004;0.091;0.046;0.003;0.046;1.0;0.6;0.052;1.6;0.0;0.0;0.0;63.2;0.093;1.2;23.7;0.7;158.0;281.2;0.057;0.5;83.837
449;flounder cooked;Flounder dimasak;109;3.0;0.7;0.8;0.6;0.0;0.0;19.4;0.0;71.1;0.5;103.0;0.047;0.067;0.094;0.014;0.018;0.002;1.6;0.3;0.1;0.0;0.005;1.0;0.1;31.8;0.099;0.3;27.9;0.077;392.4;250.2;0.049;22.622
450;milkfish raw;Perkas susu mentah mentah;42;1.9;0.5;0.7;0.5;0.0;0.0;5.8;0.0;14.7;0.098;20.1;0.099;0.091;0.09;0.012;0.027;1.8;0.2;0.1;0.0;0.0;0.0;0.0;14.4;0.021;0.057;8.5;0.088;45.8;82.6;0.042;0.2;22.203
451;eel raw;belut mentah;375;23.8;4.8;14.7;1.9;0.0;0.0;37.6;0.0;257.0;0.1;139.3;2.1;0.3;0.049;0.061;0.002;7.1;0.5;0.1;3.7;0.01;8.2;0.0;40.8;0.069;1.0;40.8;0.038;440.6;554.9;0.011;3.3;109.0
452;catfish raw;ikan lele mentah;189;9.4;2.1;4.1;1.8;0.0;0.0;24.2;0.0;87.5;0.2;125.7;0.0;0.022;0.083;0.003;0.1;3.3;1.1;0.2;0.0;0.084;1.3;0.022;12.7;0.003;0.4;30.2;0.073;324.4;480.2;0.056;0.8;46.7
453;fish sticks;tongkat ikan;78;4.5;1.0;0.9;2.2;6.1;0.5;3.1;0.4;7.8;0.1;13.9;0.055;0.006;0.037;0.039;0.3;0.082;0.4;0.0;0.038;0.0;0.0;1.9;0.089;4.5;0.3;0.2;7.0;0.0;53.5;51.8;0.072;14.563
454;coho salmon raw;Coho Salmon Raw;254;12.2;2.9;5.3;3.0;0.0;0.0;33.8;0.0;81.1;0.054;112.0;0.012;0.1;0.076;0.095;0.2;10.8;1.8;1.0;1.7;0.0;0.0;0.0;19.1;0.022;0.5;49.3;0.023;464.3;715.5;0.028;0.7;67.308
455;monkfish cooked;Monkfish dimasak;27;0.6;0.0;0.0;0.0;0.0;0.0;5.3;0.0;9.1;0.004;22.2;0.006;0.014;0.011;0.024;0.045;0.7;0.01;0.039;0.3;0.0;0.0;0.0;2.8;0.033;0.1;7.6;0.082;72.4;145.2;0.036;0.1;9.165
456;yellowtail cooked;Yellowtail dimasak;546;19.6;0.0;0.0;0.0;0.0;0.0;86.6;0.0;207.3;0.1;196.6;0.045;0.5;0.085;0.034;0.1;25.5;2.0;0.5;8.5;0.0;0.0;0.0;84.7;0.2;1.8;111.0;0.095;586.9;1571.0;0.1;2.0;201.282
457;yellowfin tuna cooked;tuna yellowfin dimasak;37;0.2;0.054;0.095;0.038;0.0;0.0;8.2;0.0;13.3;0.011;19.5;0.098;0.065;0.019;0.059;0.093;6.2;0.021;0.3;0.0;0.009;0.042;0.023;1.1;0.001;0.3;11.9;0.014;94.2;149.1;0.003;0.1;9.861
458;ling cooked;Ling matang;168;1.2;0.0;0.0;0.0;0.0;0.0;36.8;0.0;77.0;0.3;111.6;0.025;0.2;0.009;0.06;0.3;4.2;0.6;0.5;0.0;0.0;0.0;0.0;66.4;0.2;1.3;122.3;0.035;383.5;733.9;0.079;1.5;105.731
459;eel cooked;belut dimasak;67;4.2;0.9;2.6;0.3;0.0;0.0;6.7;0.0;45.6;0.069;16.8;0.3;0.008;0.074;0.058;0.066;1.3;0.067;0.031;0.5;0.0;0.0;0.0;7.4;0.075;0.2;7.4;0.058;78.4;98.8;0.01;0.6;19.3
460;sablefish raw;Sablefish Raw;753;59.1;12.4;31.1;7.9;0.0;0.0;51.8;0.0;189.1;0.2;274.1;0.4;0.4;0.094;0.1;0.3;15.4;2.9;1.2;0.0;0.0;0.0;0.0;135.1;0.037;4.9;212.3;0.077;648.5;1381.9;0.1;1.2;251.3
461;salmon nuggets;Salmon Nuggets;60;3.3;0.4;1.3;0.9;4.0;0.0;3.6;0.0;7.4;0.005;17.1;0.0;0.018;0.076;0.086;0.059;1.3;0.1;0.046;0.0;0.0;0.0;0.0;2.3;0.039;0.4;5.7;0.06;49.8;46.7;0.0;0.1;13.6
462;yellowtail raw;Yellowtail Raw;546;19.6;4.8;7.4;5.3;0.0;0.0;86.5;0.0;205.7;0.1;278.7;0.1;0.5;0.08;0.072;0.1;25.4;2.2;0.6;10.5;0.0;0.0;0.071;86.0;0.2;1.8;112.2;0.002;587.2;1570.8;0.1;1.9;204.5
463;butterfish cooked;Kupu -kupu dimasak;47;2.6;0.0;0.0;0.0;0.0;0.0;5.5;0.0;20.8;0.042;16.7;0.029;0.055;0.092;0.057;0.016;1.4;0.2;0.041;0.0;0.0;0.0;0.0;7.0;0.028;0.2;8.0;0.095;77.0;120.3;0.02;0.2;15.35
464;caviar;kaviar;42;2.9;0.6;0.7;1.2;0.6;0.0;3.9;0.0;94.1;0.2;7.6;0.054;0.037;0.038;0.083;0.003;0.051;0.6;0.005;0.0;0.0;0.3;0.065;44.0;0.086;1.9;48.0;0.068;57.0;29.0;0.098;0.2;53.325
465;pollock raw;Pollock Raw;355;3.8;0.5;0.4;1.9;0.0;0.0;75.0;0.0;274.1;0.3;301.8;0.068;0.2;0.068;0.062;0.7;12.6;1.4;1.1;0.0;0.012;0.9;0.014;231.6;0.2;1.8;258.6;0.081;853.1;1374.2;0.1;1.8;312.275
466;catfish cooked;ikan lele dimasak;206;10.3;2.3;4.5;1.9;0.0;0.0;26.4;0.0;94.4;0.2;106.7;0.066;0.045;0.044;0.066;0.021;0.1;3.6;1.2;0.3;0.0;0.035;1.4;0.01;12.9;0.098;0.4;32.9;0.011;353.2;523.4;0.03;37.141
467;whiting raw;Whiting Raw;83;1.2;0.2;0.3;0.4;0.0;0.0;16.8;0.0;61.6;0.016;73.8;0.092;0.066;0.057;0.07;0.059;1.2;0.2;0.1;0.0;0.089;0.3;0.086;44.2;0.085;0.3;19.3;0.012;204.2;229.1;0.049;0.8;62.592
468;pink salmon raw;Salmon merah muda mentah;404;14.0;2.6;4.3;2.6;0.0;0.0;65.2;0.0;146.3;0.2;240.2;0.1;0.3;0.044;0.03;0.3;25.4;3.3;1.9;0.0;0.035;1.3;0.025;22.3;0.2;1.2;85.9;0.057;830.0;1163.9;0.035;1.2;102.8
469;yellowfin tuna raw;tuna yellowfin mentah;31;0.1;0.073;0.008;0.026;0.0;0.0;6.9;0.0;11.0;0.049;21.0;0.048;0.0;0.084;0.063;0.035;5.2;0.012;0.3;0.0;0.017;0.063;0.09;1.1;0.014;0.2;9.9;0.062;78.7;124.8;0.096;0.1;8.322
470;mackerel raw;Mackerel Raw;230;15.6;3.6;6.1;3.8;0.0;0.0;20.8;0.0;78.4;0.1;71.2;0.019;0.2;0.007;0.047;0.3;10.2;1.0;0.4;0.4;0.03;1.7;0.025;13.4;0.027;1.8;85.1;0.015;243.0;351.7;0.067;0.7;52.063
471;turbot raw;Turbot Raw;388;12.0;3.1;2.5;3.6;0.0;0.0;65.5;0.0;195.8;0.6;314.0;0.001;0.3;0.094;0.09;0.3;9.0;2.3;0.9;6.9;0.0;0.0;0.0;73.4;0.2;1.5;208.1;0.06;526.3;971.0;0.1;0.9;159.322
472;cusk cooked;kusk dimasak;106;0.8;0.0;0.0;0.0;0.0;0.0;23.1;0.0;50.4;0.047;66.2;0.016;0.097;0.015;0.007;0.2;3.1;0.3;0.4;0.0;0.0;0.0;0.0;12.4;0.077;1.0;38.0;0.048;248.9;477.9;0.012;0.5;37.306
473;atlantic croaker raw;Atlantik Croaker Raw;82;2.5;0.9;0.9;0.4;0.0;0.0;14.0;0.0;48.2;0.014;61.6;0.039;0.079;0.028;0.066;0.038;3.3;0.6;0.2;0.0;0.005;1.0;0.068;11.9;0.065;0.3;31.6;0.017;165.9;272.6;0.053;0.3;28.709
474;sucker cooked;pengisap dimasak;148;3.7;0.7;1.1;1.3;0.0;0.0;26.6;0.0;65.7;0.019;91.7;0.006;0.053;0.043;0.026;0.1;1.8;1.1;0.3;0.0;0.0;0.0;0.0;111.6;0.3;2.1;47.1;1.0;333.6;603.9;0.0;1.2;144.006
475;spot raw;Spot Raw;79;3.1;0.9;0.9;0.7;0.0;0.0;11.8;0.0;38.4;0.022;48.6;0.005;0.1;0.063;0.042;0.1;4.5;0.5;0.3;0.0;0.0;0.0;0.0;9.0;0.014;0.2;26.9;0.095;119.0;317.4;0.024;0.3;24.113
476;drum cooked;Drum dimasak;236;9.7;2.2;4.3;2.3;0.0;0.0;34.6;0.0;126.3;0.1;109.2;0.099;0.1;0.058;0.019;0.3;4.4;1.3;0.5;1.5;0.0;0.0;0.0;118.6;0.5;1.8;58.5;1.4;355.7;543.6;0.076;1.3;166.292
477;crayfish raw;Crayfish Raw;3;0.048;0.01;0.043;0.01;0.0;0.0;0.6;0.0;4.3;0.024;3.4;0.098;0.015;0.1;0.082;0.024;0.056;0.048;0.047;0.078;0.0;0.0;0.0;1.0;0.058;0.053;1.2;0.034;8.7;10.4;0.093;0.009;1.788
478;tilefish cooked;Tilefish dimasak;441;14.1;2.6;4.0;3.7;0.0;0.0;73.5;0.0;192.0;0.2;210.7;0.022;0.4;0.067;0.01;0.6;10.5;2.6;0.9;0.0;0.0;0.0;0.0;78.0;0.2;0.9;99.0;0.064;708.0;1536.0;0.2;1.6;166.521
479;bluefish cooked;ikan biru dimasak;186;6.4;1.4;2.7;1.6;0.0;0.0;30.1;0.0;88.9;0.045;73.3;0.2;0.012;0.066;0.019;0.1;8.5;1.1;0.5;0.0;0.0;0.0;0.0;10.5;0.049;0.7;49.1;0.015;340.5;558.1;0.084;1.2;47.9
480;grouper cooked;Kerapu dimasak;238;2.6;0.6;0.5;0.8;0.0;0.0;50.2;0.0;94.9;0.1;148.2;0.1;0.2;0.023;0.083;0.035;0.8;1.8;0.7;0.0;0.0;0.0;0.0;42.4;0.063;2.3;74.7;0.075;288.9;959.5;0.088;1.0;97.6
481;sheepshead raw;Domba, mentah;257;5.7;1.4;1.7;1.2;0.0;0.0;48.1;0.0;119.0;0.2;185.6;0.022;0.082;0.019;0.067;0.073;3.6;1.8;0.7;0.0;0.0;0.0;0.0;50.0;0.05;1.1;76.2;0.083;744.9;961.5;0.056;0.9;104.93
482;herring kippered;Herring kippered;87;4.9;1.1;2.0;1.2;0.0;0.0;9.8;0.0;32.8;0.4;23.9;0.005;0.07;0.02;0.068;0.1;1.8;0.4;0.2;0.4;0.004;0.6;0.086;33.6;0.081;0.6;18.4;0.062;130.0;178.8;0.053;0.5;49.314
483;grouper raw;Kerapu mentah;238;2.6;0.6;0.5;0.8;0.0;0.0;50.2;0.0;95.8;0.1;205.2;0.1;0.2;0.077;0.045;0.013;0.8;1.9;0.8;0.0;0.0;0.0;0.0;69.9;0.027;2.3;80.3;0.042;419.6;1251.0;0.059;1.2;125.1
484;ocean perch cooked;Lautan bertengger dimasak;48;0.9;0.2;0.3;0.2;0.0;0.0;9.3;0.0;31.5;0.2;37.1;0.011;0.031;0.071;0.095;0.044;0.018;0.6;0.2;0.021;0.0;0.042;0.5;0.069;17.0;0.073;0.1;13.5;0.075;150.0;113.0;0.004;10.368
485;ling raw;Ling Raw;168;1.2;0.2;0.2;0.4;0.0;0.0;36.7;0.0;77.2;0.3;153.7;0.041;0.2;0.052;0.088;0.4;4.4;0.6;0.6;0.0;0.0;0.0;0.0;65.6;0.2;1.3;121.6;0.026;382.1;731.5;0.069;1.5;104.862
486;lingcod cooked;Lingcod dimasak;329;4.1;0.8;1.3;1.2;0.0;0.0;68.4;0.0;202.3;0.2;228.6;0.054;0.1;0.024;0.015;0.4;7.0;2.6;1.0;0.0;0.0;0.0;0.0;54.4;0.1;1.2;99.7;0.067;779.2;1691.2;0.1;1.8;128.139
487;florida pompano raw;Florida Pompano Raw;184;10.6;3.9;2.9;1.3;0.0;0.0;20.7;0.0;56.0;0.081;79.7;0.091;0.6;0.038;0.008;0.1;3.4;0.8;0.2;0.0;0.098;0.2;0.041;24.6;0.011;0.7;30.2;0.012;218.4;426.7;0.025;0.8;56.69
488;rockfish cooked;Rockfish dimasak;162;2.4;0.6;0.7;0.7;0.0;0.0;33.1;0.0;90.9;0.1;111.3;0.012;0.006;0.081;0.068;0.055;0.3;4.3;0.6;0.4;0.0;0.004;0.7;0.0;25.3;0.046;0.5;49.2;0.013;369.5;695.8;0.1;35.955
489;seatrout cooked;Seatrout dimasak;247;8.6;2.4;2.1;1.7;0.0;0.0;39.9;0.0;197.2;0.1;133.8;0.006;0.1;0.033;0.032;0.4;5.4;1.6;0.9;0.0;0.0;0.0;0.0;40.9;0.071;0.7;74.4;0.048;597.1;812.8;0.002;1.1;90.142
490;sockeye salmon raw;Sockeye Salmon Raw;562;22.2;4.7;7.4;7.7;0.0;0.0;84.4;0.0;209.9;0.4;289.7;0.2;0.7;0.073;0.065;0.5;32.2;4.6;2.4;0.0;0.086;3.8;0.021;39.6;0.2;1.7;118.8;0.064;1053.4;1358.3;0.1;1.7;148.1
